22120047,4
22120075,4
22120158,4
22120163,4
22120187,4
22120222,4
22120285,4
22120312,4
22120341,4
22120345,4
1712263,5
19120463,5
20120042,5
20120527,5
22120002,5
22120004,5
22120007,5
22120014,5
22120016,5
22120019,5
22120027,5
22120032,5
22120040,5
22120041,5
22120043,5
22120048,5
22120052,5
22120061,5
22120063,5
22120086,5
22120095,5
22120113,5
22120115,5
22120120,5
22120121,5
22120132,5
22120135,5
22120144,5
22120149,5
22120158,5
22120163,5
22120167,5
22120171,5
22120173,5
22120187,5
22120188,5
22120222,5
22120223,5
22120231,5
22120269,5
22120278,5
22120285,5
22120288,5
22120289,5
22120304,5
22120309,5
22120312,5
22120315,5
22120319,5
22120325,5
22120329,5
22120337,5
22120338,5
22120341,5
22120345,5
22120354,5
22120356,5
22120360,5
22120361,5
22120369,5
22120383,5
22120393,5
22120400,5
22120419,5
22120432,5
22120440,5
22120442,5
22120450,5
22120452,5
22120004,6
22120017,6
22120023,6
22120027,6
22120037,6
22120047,6
22120075,6
22120084,6
22120120,6
22120135,6
22120308,6
22120354,6
22120360,6
19120463,7
22120338,7
22120344,7
